organization_uid,organization_name,organization_email,Annual Revenue,Became Customer Date,Discount Detials,External ID,File Input,HubSpot Company ID,Industry,Last Contact,Netsuite Customer ID,Netsuite ID,Netsuite Internal ID,Preferred Mode of Contact,Website
216cf874-adde-4e40-a820-6e568df3ec90,Landgut Nemt,christoph.dobelt@landgut-nemt.de,,,,,,,,,,,,,
3c426acb-8066-45e5-8fe8-a00867e681ae,Rhone Bio,y.etter@rhonebio.ch,,,,,,,,,,,,,
35e65473-df51-471c-a66e-90570284e772,Koetsenruijter ,gkoetsen@hotmail.com,,,,,,,,,,,,,
703292ee-404a-43e3-b265-2261594a226a,Boettcher Gartenbau,s.boettcher@boettcher-gartenbau.de,,,,,,,,,,,,,
a162c4d0-018d-411b-8c2e-184691dd8daf,Henrich Vinnen GbR,hvinnen@gmail.com,,,,,,,,,,,,,
c446236a-e9d0-408d-b39c-cb477d9f88b4,Schäfer / Meyer GmbH,kontakt@bio-feldgemuese.de,,,,,,,,,,,,,
06d74510-6d85-45bb-9969-6db14d3413ff,Cuma Casdi ,didier.rosier981@orange.fr,,,,,,,,,,,,,
4944dc29-03ea-4007-adbf-8bdac0c8216f,Ellenholm & Vadensjö Jordbruks Ab ,info@ellenholm.se,,,,,,,,,,,,,
6bed8191-6a51-4043-9947-18cd986982cc,DanRoots A/S,kve@danroots.com,,,,,,,,,,,,,
39ef305a-5d30-4b03-af34-c6daab93bfb2,Ecotractor del sur,pedro@ecotractor.com,,,,,,,,,,,,,
67ad707a-6b0b-41c1-9e41-b7d39dc4dd89,Leaderbrand ,gordon.mcphail@leaderbrand.co.nz,,,,,,,,,,,,,
3bdeaec0-64ec-4881-bac4-55c64a6920a8,Tkm Bengard Farms LLC,,,,,,,29443713285,,,,,,,
528da124-02ab-4268-bf55-0c26313f9a94,Bio Latina,Biolatina@zuper.com,,,,,,,,,,,,,
ca2d15dd-4f0e-43c7-897a-d65d74efa282,Top Legume ,valerian.latrille@gmail.com,,,,,,,,,3649,,,,
b4618092-766d-4313-b956-8098a30bfdfc,Hussey & Co,hussey!@zuper.com,,,,,,29439948695,,,3757,,,,
04c59ec6-bfe8-4bb6-9d95-76763bd1113a,So Sweet Produce,SoSweet@zuper.com,,,,,,29439953989,,,3460,,,,
08d46cb6-7a4e-4334-9443-23cc6287acf6,Martin Farms / MLK Land and Livestock,martin@zuper.com,,,,,,29438070637,,,3832,,,,
473157e6-779d-4dc6-aff9-97ff87ba31c4,Carbon Robotics - Engineering,eng@zuper.com,,,,,,,,,3833,,,,
594ed639-6da7-44b0-aa74-ef5db609a5c2,Carbon Robotics - Sales EU,crEUSALES@zuper.com,,,,,,,,,3835,,,,
190addc7-c89f-4bf1-880f-eb8bf87dfead,Carbon Robotics - Sales NA,crsales@zuper.com,,,,,,,,,3834,,,,
ba8b915f-42e8-4c1b-a958-2c7cc659e873,Royalveg Fresh Produce Sl,Royalveg@zuper.com,,,,,,,,,3844,,,,
8d72a4ea-a101-4cfa-8e21-11fefb14741e,Biohof Schirneker-Reineke GmbH,SchirnekerReineke@zuper.com,,,,,,,,,3816,,,,
4b4dcf97-3bcd-4db9-b1ea-c77c506411a7,S.A.T. 9855 Primaflor,primaflor@zuper.com,,,,,,,,,3821,,,,
863cf746-0cf5-4865-933b-27d7d7a62553,Grupo Lucas,grupolucas@zuper.com,,,,,,,,,3817,,,,
71c8ec8d-72f7-4e7b-a3eb-ae2bf5c7add6,Ho Sai Gai Farms Inc,HoSaiGai@carbonrobotic.com,,,,,,33248314134,,,3822,,,,
ac0feb16-b6c6-41f2-b65a-ba3527eb4c76,Carbon Robotics BV,matiasb@carbonrobotics.com,,,,,,,,,,,,,
81a2f61f-44d7-44e1-8be3-c91aa195bf1b,Yang Farm,yang@carbonrobotics.com,,,,,,30278037878,,,3640,,,,
8f7c44f2-2374-4bb9-95c9-0a3d76ec0f16,Svihel Vegetable Farm,,,,,,,30482831758,,,,,,,
a1f5b524-d156-4bf6-89e3-52e3b3515f86,Herbes De Meaux,hdm.chambry@orange.fr,,,,,,29443708048,,,2814,,,,
2f92a823-8876-4767-b663-54853e8589eb,Full Circle Farms,rmprdave@comcast.net,,,,,,,,,3641,,,,
ca86b047-c8f2-4d6b-b71d-915fa90f7ff5,Widegrens Gård Ab,Widegrens@zuper.com,,,,,,29440280839,,,3605,,,,
0ae59978-d7a6-42b3-be5e-500115c65106,Test,test@zuper.co,,,,,,,,,123,,,,
4c019b48-74a7-4c8c-860d-b8d17f616426,SARL RG vallée,sarlrgvallee@carbonrobotics.com,,,,CUS0150,,29440114496,,,3596,,,,
26222b4e-acbe-4b9a-9669-26c66134d178,Bio Feigl Gmbh,Feigl@carbonrobotics.com,,,,CUS0141,,29440113037,,,3106,,,,
7f8278b9-c3fb-4442-a864-434a3f54628c,Centre Maraicher E Guinois Jr Inc,centremaraicher@carbonrobotics.com,,,,CUS0146,,29440119353,,,3591,,,,
5dd73da6-2baf-4c13-987d-25e85976e187,Zions Credit Corporation,,,,,CUS0095,,,,,1232,,,,
9d54eae0-3746-4b0b-b23a-035ccc7c09cf,Vert Nature Inc,,,,,CUS0110,,,,,2625,,,,
11213f7b-ad67-45b0-97a9-69798d28e9cf,Triple G Farms,tripleg@carbonrobotics.com,,,,,,,,,3091,,,,
d656c880-9f67-485e-8a7e-af21456e191d,Test Customer,,,,,CUS0096,,,,,1241,,,,
f18e8304-a643-4399-8eb5-01116ac80efe,SCEA de l'EvÃªchÃ©,,,,,CUS0122,,,,,2814,,,,
3b7c2687-4cda-4c04-8e72-d6325ac973b5,"Roush Industries, Inc.",,,,,CUS0129,,,,,2956,,,,
97884f4d-9918-45ce-abeb-84c8a48c42de,RDO Equipment,,,,,CUS0102,,,,,1248,,,,
356d231a-8c0f-483a-b490-1c71a3cbb02d,Lockyer Valley Organics,Lockyervalley@carbonrobotics.com,,,,CUS0114,,,,,2658,,,,
966ee360-0a9b-46be-8bdd-003f5b942646,IC Carbon Robotics Pty Ltd,,,,,VEN0558,,,,,2095,,,,
ae9950b7-4377-403e-acad-ee83bc47972e,IC Carbon Robotics Canada Ltd,,,,,VEN0556,,,,,2093,,,,
71a68960-1ea1-4a44-9909-6c28bceab072,IC Carbon Robotics B.V.,,,,,VEN0557,,,,,2094,,,,
b0fde346-4fad-4bc8-90b6-8d26ea28306d,IC Carbon Robotics,,,,,VEN0555,,,,,2092,,,,
0d28c74a-00ef-4cb2-b1f9-68faf1e67f41,Huerta de Peralta S.A.T 413,Huerta@zuper.com,,,,,,,,,,,,,
4d0b9acc-fe62-460b-bfcf-a956aa5a69d7,Horizon Organics LLC,,,,,CUS0103,,,,,1449,,,,
49df5bc6-e7be-49e8-8533-2bc74147cc54,G's Growers,,,,,CUS0142,,,,,3118,,,,
039ba31b-fcc2-4bbf-b719-24bdfd33527a,Gl. Estrup Gartneri Ã˜ko ApS,,,,,CUS0133,,,,,2971,,,,
bb47958d-87ce-4927-beac-0f96712eddf9,Fresh Foods Inc,,,,,CUS0109,,,,,2621,,,,
6f37d0f5-2c7e-4bc0-8e38-a66e2e50a807,Data Migration Customer,,,,,CUS0001,,,,,938,,,,
8247e070-d97e-4c89-9e9e-eb47021c3412,Croft Design & Irrigation Pty Ltd Atf The Arahura Family Trust,,,,,CUS0106,,,,,1771,,,,
1d63972a-11dd-4c37-a7c0-4e78d5a607e1,Orto di Campo,commerciale@ortodicampo.it,,,,CUS0130,,,,,2958,,,,
6d663de0-1e69-432f-ae45-7bd28ac86ba2,Coolibah Herbs,,,,,CUS0124,,,,,2833,,,,
b4f4038f-8a15-41d9-968d-368f02ed9ebb,CJ Prop Ltd,,,,,CUS0126,,,,,2948,,,,
5354bc51-d98e-45ab-962c-79e72ff12161,Bagthorpe Farm,Bagthorpe@zuper.com,,,,CUS0131,,,,,2960,,,,
d72a2ae6-d73e-43dd-8762-68f2f0f6d3db,ASA Organics,,,,,CUS0134,,,,,3079,,,,
2bf2c770-6e97-4f79-a40c-9863c7b3e72c,Agrobiofutura,,,,,CUS0139,,,,,3093,,,,
adbce2a8-abfb-49a5-80e7-4dce244ecbf6,Jack's Pride Farms Inc.,,,,,CUS0100,,,,,1246,,,,
5b991167-460d-4e54-86f1-c48ff12ef083,Bland Farms,bland@carbonrobotics.com,,,,CUS0149,,29379075236,,,3594,,,,
e8cb2536-3412-4f1d-8986-1e7afdaa5e0e,Brian Andersen Farm,Banderson@carbonrobotics.com,,,,CUS0006,,29443705642,,,1143,,,,
dfbf7ad6-96b4-4b5d-acba-46742d004343,Columbia Basin Onion,cbo@carbonrobotics.com,,,,CUS0014,,29440109669,,,1151,,,,
a6695361-e767-4ed3-b70d-33ce035ad992,Kludt Brothers Farms,kludt@carbonrobotics.com,,,,CUS0047,,29439952004,,,1184,,,,
0aa60be9-1683-45a0-ab58-a7b22c63ab55,Sorbello And Sons,,,,,CUS0144,,29443716517,,,3445,,,,
5f706df9-d705-495e-85a8-870028a1ef39,"Triple G Farms, Inc.",,,,,CUS0137,,29439158436,,,3091,,,,
2f528a08-39bc-40f0-a9cc-bc0394b11e79,Tanimura & Antle,,,,,CUS0117,,,,,2777,,,,
d7d5325f-23ac-43d2-b450-b936533f3a3a,Rava Ranches Inc.,rava@carbonrobotics.com,,,,CUS0109,,,,,2621,,,,
4c4d4aa6-b4d9-4859-969d-ac6e44b78778,Chris test company,,,,,,,30145573515,,,,,,,
95a8371e-1241-407c-9719-828cc9e737b6,Gs Fresh LTD,GsGroup@zuper.com,,,,CUS0142,,,,,3118,,,,
226f9a1f-b187-4017-b677-112bd40be70e,BFI Native Seeds LLC,,,,,CUS0138,,,,,3092,,,,
e77fdcd4-b960-4c3d-9bba-6e447269d9c7,Van Woerden Biologische Producten,Vanwoerden@zuper.com,,,,CUS0136,,,,,3085,,,,
b635bc37-f74d-478b-a7c2-db9cd6ba404f,Haas Handels GmbH,HaasHandelsGmbH@carbonrobotics.com,,,,CUS0140,,,,,3094,,,,
3b5b2187-8911-4162-a256-a9b801aeb2fe,T.C & N. Taylor Ltd,TCN@zuper.com,,,,CUS0127,,,,,2950,,,,
1206ed6a-b1a9-412c-944a-c361a79b4f49, SAS de Mirabel,SASdeMirabel@carbonrobotics.com,,,,CUS0132,,,,,2961,,,,
6030d1f8-289d-457f-a243-ba8515f392ae,Eva Kammel,romanjochlinger@carbonrobotics.com,,,,CUS0132,,,,,2961,,,,
1d45e7a0-452a-4e16-b714-231a1c6230d2,Mardi de Graaf,graff@carbonrobotics.com,,,,CUS0128,,,,,2955,,,,
15230cc9-ff07-4d44-b3f4-cbaf1cb3d887,SCEA Lavie Bio,sfffff@ff.com,,,,CUS0116,,,,,2776,,,,
67085236-9b6a-4594-8ac4-b671ec055d98,Cuma Landes de Gascogne,Cuma@zuper.com,,,,CUS0112,,,,,2638,,,,
0d1265fe-1cec-4369-80af-31afd709da95,Landesproduktenhandels GmbH,Thomasschneider@zuper.com,,,,CUS0125,,,,,2846,,,,
9dda8172-5df9-4f6c-9924-3c73d8b93d23,Biotechnik GbR,Biotechnik@zuper.com,,,,CUS0111,,,,,2637,,,,
70ba2c1c-baf3-4acf-ba37-abdcdd9ab2ed,Bulmer Farms Pty Ltd,,,,,CUS0121,,,,,2813,,,,
677acf38-63f7-4eaf-b7c6-36c576dfdd1d,Riviera Farms,,,,,CUS0120,,,,,2803,,,,
02ce1a1d-cac6-4ce0-b352-96d5afd882ab,Andreas Renner Biogemuese,Renner@zuper.com,,,,CUS0119,,,,,2799,,,,
8869aacf-6a91-4968-88de-09fbdda40f65,Schlosser Frischgemuese,Schlosser@zuper.com,,,,CUS0113,,,,,2642,,,,
239d2d86-661f-4c85-a1b2-8c0d14c01c1a,Arahura Farms,s86@carbonrobotics.com,,,,CUS0106,,,,,1771,,,,
f3b66ac7-063e-4685-957e-8936a546768a,Wassergemeinschaft Biohof Anzbock OG,Anzbock@zuper.com,,,,CUS0115,,,,,2772,,,,
f7ff9346-e44b-4882-bb34-c767b50bb29e,Van Erkel farms inc,,,,,CUS0108,,,,,2619,,,,
942f110c-968d-4a6b-b519-fc72c4263a9e,Rio Fresh Inc,,,,,CUS0123,,,,,2815,,,,
f55c94ff-68e7-488f-abcf-fd94e37db32e,B&B Farms,,,,,CUS0101,,,,,1247,,,,
b518d949-41af-4595-85e0-cdd61fb9b394,Heritage Farms,,,,,CUS0099,,,,,1245,,,,
5aa34f5a-aeab-4170-9e9b-9bd2d21e4f51,Heartland Agro US LLC,,,,,CUS0097,,,,,1243,,,,
5918d469-9af4-4446-99f4-88e72468c726, Jack's Pride Farms Inc.,jacks@carbonrobotics.com,,,,CUS0100,,,,,1246,,,,
