organization_uid,organization_name,organization_email,has_netsuite_id,netsuite_customer_id,external_id,hubspot_company_id,no_of_customers,is_active,created_at
ca2d15dd-4f0e-43c7-897a-d65d74efa282,Top Legume ,valerian.latrille@gmail.com,YES,3649,,,1,True,2025-07-24T11:14:44.320Z
b4618092-766d-4313-b956-8098a30bfdfc,Hussey & Co,hussey!@zuper.com,YES,3757,,29439948695,1,True,2025-07-18T01:25:01.899Z
04c59ec6-bfe8-4bb6-9d95-76763bd1113a,So Sweet Produce,SoSweet@zuper.com,YES,3460,,29439953989,1,True,2025-07-18T01:02:46.216Z
08d46cb6-7a4e-4334-9443-23cc6287acf6,Martin Farms / MLK Land and Livestock,martin@zuper.com,YES,3832,,29438070637,1,True,2025-07-14T14:52:16.972Z
473157e6-779d-4dc6-aff9-97ff87ba31c4,Carbon Robotics - Engineering,eng@zuper.com,YES,3833,,,3,True,2025-07-11T21:41:47.520Z
594ed639-6da7-44b0-aa74-ef5db609a5c2,Carbon Robotics - Sales EU,crEUSALES@zuper.com,YES,3835,,,1,True,2025-07-11T21:39:36.571Z
190addc7-c89f-4bf1-880f-eb8bf87dfead,Carbon Robotics - Sales NA,crsales@zuper.com,YES,3834,,,1,True,2025-07-11T21:36:48.614Z
ba8b915f-42e8-4c1b-a958-2c7cc659e873,Royalveg Fresh Produce Sl,Royalveg@zuper.com,YES,3844,,,1,True,2025-07-07T12:51:08.071Z
8d72a4ea-a101-4cfa-8e21-11fefb14741e,Biohof Schirneker-Reineke GmbH,SchirnekerReineke@zuper.com,YES,3816,,,1,True,2025-07-07T12:44:21.494Z
4b4dcf97-3bcd-4db9-b1ea-c77c506411a7,S.A.T. 9855 Primaflor,primaflor@zuper.com,YES,3821,,,1,True,2025-07-07T12:37:32.192Z
863cf746-0cf5-4865-933b-27d7d7a62553,Grupo Lucas,grupolucas@zuper.com,YES,3817,,,1,True,2025-07-07T12:02:42.861Z
71c8ec8d-72f7-4e7b-a3eb-ae2bf5c7add6,Ho Sai Gai Farms Inc,HoSaiGai@carbonrobotic.com,YES,3822,,33248314134,1,True,2025-07-03T15:59:44.843Z
81a2f61f-44d7-44e1-8be3-c91aa195bf1b,Yang Farm,yang@carbonrobotics.com,YES,3640,,30278037878,1,True,2025-05-24T21:06:10.618Z
a1f5b524-d156-4bf6-89e3-52e3b3515f86,Herbes De Meaux,hdm.chambry@orange.fr,YES,2814,,29443708048,1,True,2025-05-22T12:43:11.337Z
2f92a823-8876-4767-b663-54853e8589eb,Full Circle Farms,rmprdave@comcast.net,YES,3641,,,1,True,2025-05-21T16:54:39.003Z
ca86b047-c8f2-4d6b-b71d-915fa90f7ff5,Widegrens Gård Ab,Widegrens@zuper.com,YES,3605,,29440280839,1,True,2025-04-24T22:40:51.052Z
0ae59978-d7a6-42b3-be5e-500115c65106,Test,test@zuper.co,YES,123,,,1,True,2025-04-24T18:00:42.533Z
4c019b48-74a7-4c8c-860d-b8d17f616426,SARL RG vallée,sarlrgvallee@carbonrobotics.com,YES,3596,CUS0150,29440114496,1,True,2025-04-17T10:24:58.196Z
26222b4e-acbe-4b9a-9669-26c66134d178,Bio Feigl Gmbh,Feigl@carbonrobotics.com,YES,3106,CUS0141,29440113037,1,True,2025-04-16T13:12:30.520Z
7f8278b9-c3fb-4442-a864-434a3f54628c,Centre Maraicher E Guinois Jr Inc,centremaraicher@carbonrobotics.com,YES,3591,CUS0146,29440119353,1,True,2025-04-11T20:15:06.895Z
5dd73da6-2baf-4c13-987d-25e85976e187,Zions Credit Corporation,,YES,1232,CUS0095,,0,True,2025-04-05T07:38:15.399Z
9d54eae0-3746-4b0b-b23a-035ccc7c09cf,Vert Nature Inc,,YES,2625,CUS0110,,0,True,2025-04-05T07:38:15.374Z
11213f7b-ad67-45b0-97a9-69798d28e9cf,Triple G Farms,tripleg@carbonrobotics.com,YES,3091,,,0,True,2025-04-05T07:38:15.365Z
d656c880-9f67-485e-8a7e-af21456e191d,Test Customer,,YES,1241,CUS0096,,0,True,2025-04-05T07:38:15.354Z
f18e8304-a643-4399-8eb5-01116ac80efe,SCEA de l'EvÃªchÃ©,,YES,2814,CUS0122,,0,True,2025-04-05T07:38:15.343Z
3b7c2687-4cda-4c04-8e72-d6325ac973b5,"Roush Industries, Inc.",,YES,2956,CUS0129,,0,True,2025-04-05T07:38:15.334Z
97884f4d-9918-45ce-abeb-84c8a48c42de,RDO Equipment,,YES,1248,CUS0102,,0,True,2025-04-05T07:38:15.324Z
356d231a-8c0f-483a-b490-1c71a3cbb02d,Lockyer Valley Organics,Lockyervalley@carbonrobotics.com,YES,2658,CUS0114,,1,True,2025-04-05T07:38:15.316Z
966ee360-0a9b-46be-8bdd-003f5b942646,IC Carbon Robotics Pty Ltd,,YES,2095,VEN0558,,0,True,2025-04-05T07:38:15.309Z
ae9950b7-4377-403e-acad-ee83bc47972e,IC Carbon Robotics Canada Ltd,,YES,2093,VEN0556,,0,True,2025-04-05T07:38:15.298Z
71a68960-1ea1-4a44-9909-6c28bceab072,IC Carbon Robotics B.V.,,YES,2094,VEN0557,,3,True,2025-04-05T07:38:15.288Z
