zuper_organization_uid,organization_name,organization_email,netsuite_customer_id
ca2d15dd-4f0e-43c7-897a-d65d74efa282,Top Legume ,valerian.latrille@gmail.com,3649
b4618092-766d-4313-b956-8098a30bfdfc,Hussey & Co,hussey!@zuper.com,3757
04c59ec6-bfe8-4bb6-9d95-76763bd1113a,So Sweet Produce,SoSweet@zuper.com,3460
08d46cb6-7a4e-4334-9443-23cc6287acf6,Martin Farms / MLK Land and Livestock,martin@zuper.com,3832
473157e6-779d-4dc6-aff9-97ff87ba31c4,Carbon Robotics - Engineering,eng@zuper.com,3833
594ed639-6da7-44b0-aa74-ef5db609a5c2,Carbon Robotics - Sales EU,crEUSALES@zuper.com,3835
190addc7-c89f-4bf1-880f-eb8bf87dfead,Carbon Robotics - Sales NA,crsales@zuper.com,3834
ba8b915f-42e8-4c1b-a958-2c7cc659e873,Royalveg Fresh Produce Sl,Royalveg@zuper.com,3844
8d72a4ea-a101-4cfa-8e21-11fefb14741e,Biohof Schirneker-Reineke GmbH,SchirnekerReineke@zuper.com,3816
4b4dcf97-3bcd-4db9-b1ea-c77c506411a7,S.A.T. 9855 Primaflor,primaflor@zuper.com,3821
863cf746-0cf5-4865-933b-27d7d7a62553,Grupo Lucas,grupolucas@zuper.com,3817
71c8ec8d-72f7-4e7b-a3eb-ae2bf5c7add6,Ho Sai Gai Farms Inc,HoSaiGai@carbonrobotic.com,3822
81a2f61f-44d7-44e1-8be3-c91aa195bf1b,Yang Farm,yang@carbonrobotics.com,3640
a1f5b524-d156-4bf6-89e3-52e3b3515f86,Herbes De Meaux,hdm.chambry@orange.fr,2814
2f92a823-8876-4767-b663-54853e8589eb,Full Circle Farms,rmprdave@comcast.net,3641
ca86b047-c8f2-4d6b-b71d-915fa90f7ff5,Widegrens Gård Ab,Widegrens@zuper.com,3605
0ae59978-d7a6-42b3-be5e-500115c65106,Test,test@zuper.co,123
4c019b48-74a7-4c8c-860d-b8d17f616426,SARL RG vallée,sarlrgvallee@carbonrobotics.com,3596
26222b4e-acbe-4b9a-9669-26c66134d178,Bio Feigl Gmbh,Feigl@carbonrobotics.com,3106
7f8278b9-c3fb-4442-a864-434a3f54628c,Centre Maraicher E Guinois Jr Inc,centremaraicher@carbonrobotics.com,3591
5dd73da6-2baf-4c13-987d-25e85976e187,Zions Credit Corporation,,1232
9d54eae0-3746-4b0b-b23a-035ccc7c09cf,Vert Nature Inc,,2625
11213f7b-ad67-45b0-97a9-69798d28e9cf,Triple G Farms,tripleg@carbonrobotics.com,3091
d656c880-9f67-485e-8a7e-af21456e191d,Test Customer,,1241
f18e8304-a643-4399-8eb5-01116ac80efe,SCEA de l'EvÃªchÃ©,,2814
3b7c2687-4cda-4c04-8e72-d6325ac973b5,"Roush Industries, Inc.",,2956
97884f4d-9918-45ce-abeb-84c8a48c42de,RDO Equipment,,1248
356d231a-8c0f-483a-b490-1c71a3cbb02d,Lockyer Valley Organics,Lockyervalley@carbonrobotics.com,2658
966ee360-0a9b-46be-8bdd-003f5b942646,IC Carbon Robotics Pty Ltd,,2095
ae9950b7-4377-403e-acad-ee83bc47972e,IC Carbon Robotics Canada Ltd,,2093
71a68960-1ea1-4a44-9909-6c28bceab072,IC Carbon Robotics B.V.,,2094
b0fde346-4fad-4bc8-90b6-8d26ea28306d,IC Carbon Robotics,,2092
4d0b9acc-fe62-460b-bfcf-a956aa5a69d7,Horizon Organics LLC,,1449
49df5bc6-e7be-49e8-8533-2bc74147cc54,G's Growers,,3118
039ba31b-fcc2-4bbf-b719-24bdfd33527a,Gl. Estrup Gartneri Ã˜ko ApS,,2971
bb47958d-87ce-4927-beac-0f96712eddf9,Fresh Foods Inc,,2621
6f37d0f5-2c7e-4bc0-8e38-a66e2e50a807,Data Migration Customer,,938
8247e070-d97e-4c89-9e9e-eb47021c3412,Croft Design & Irrigation Pty Ltd Atf The Arahura Family Trust,,1771
1d63972a-11dd-4c37-a7c0-4e78d5a607e1,Orto di Campo,commerciale@ortodicampo.it,2958
6d663de0-1e69-432f-ae45-7bd28ac86ba2,Coolibah Herbs,,2833
b4f4038f-8a15-41d9-968d-368f02ed9ebb,CJ Prop Ltd,,2948
5354bc51-d98e-45ab-962c-79e72ff12161,Bagthorpe Farm,Bagthorpe@zuper.com,2960
d72a2ae6-d73e-43dd-8762-68f2f0f6d3db,ASA Organics,,3079
2bf2c770-6e97-4f79-a40c-9863c7b3e72c,Agrobiofutura,,3093
adbce2a8-abfb-49a5-80e7-4dce244ecbf6,Jack's Pride Farms Inc.,,1246
5b991167-460d-4e54-86f1-c48ff12ef083,Bland Farms,bland@carbonrobotics.com,3594
e8cb2536-3412-4f1d-8986-1e7afdaa5e0e,Brian Andersen Farm,Banderson@carbonrobotics.com,1143
dfbf7ad6-96b4-4b5d-acba-46742d004343,Columbia Basin Onion,cbo@carbonrobotics.com,1151
a6695361-e767-4ed3-b70d-33ce035ad992,Kludt Brothers Farms,kludt@carbonrobotics.com,1184
0aa60be9-1683-45a0-ab58-a7b22c63ab55,Sorbello And Sons,,3445
5f706df9-d705-495e-85a8-870028a1ef39,"Triple G Farms, Inc.",,3091
2f528a08-39bc-40f0-a9cc-bc0394b11e79,Tanimura & Antle,,2777
